candidate,radiator_ft,counterpoise_ft,deployment,ground,conductivity,band,frequency_hz,resistance_ohm,reactance_ohm,raw_swr,minimum_q,inside_empirical_kh1_separator,nec_efficiency
41r-17c,41.0,17.0,30ft,average,copper,30m,10120000,491.98,826.42,37.67882746377381,6.050102265269598,True,0.9454
41r-17c,41.0,17.0,30ft,average,copper,20m,14050000,167.23,-573.24,42.919949091945014,6.453236309406016,False,0.9366
41r-17c,41.0,17.0,30ft,average,copper,17m,18080000,123.34,267.14,14.374495125067146,3.6109111444358732,True,0.9343
41r-17c,41.0,17.0,30ft,average,copper,15m,21050000,387.73,1034.4,63.0598861533898,7.870628207361268,False,0.9427
41r-17c,41.0,17.0,30ft,poor,ccs_mid,40m,7050000,77.177,-240.36,17.104477827183544,3.9389187146152453,True,0.8832
41r-17c,41.0,17.0,30ft,poor,ccs_mid,30m,10120000,507.2,796.25,35.214737755232655,5.843334195045174,True,0.8987
41r-17c,41.0,17.0,30ft,poor,ccs_mid,20m,14050000,167.96,-573.09,42.74187043242785,6.43953234080536,False,0.8759
41r-17c,41.0,17.0,30ft,poor,ccs_mid,17m,18080000,141.09,274.54,13.787930621376695,3.5363928082934426,True,0.8869
41r-17c,41.0,17.0,30ft,poor,ccs_mid,15m,21050000,446.28,1031.0,56.65649328770929,7.453999344598383,False,0.9020999999999999
41r-17c,41.0,17.0,30ft,poor,copper,40m,7050000,73.344,-243.62,18.278090391981173,4.080573694930123,True,0.9377
41r-17c,41.0,17.0,30ft,poor,copper,30m,10120000,479.66,790.53,35.72697790361047,5.886486851491224,True,0.9464
41r-17c,41.0,17.0,30ft,poor,copper,20m,14050000,163.32,-583.43,45.23432043318117,6.629500742922982,False,0.9339
41r-17c,41.0,17.0,30ft,poor,copper,17m,18080000,134.24,268.96,13.762238954130654,3.5302173200214266,True,0.9398000000000001
41r-17c,41.0,17.0,30ft,poor,copper,15m,21050000,423.65,1023.0,57.97913256400339,7.541774207480928,False,0.9483
53r-17c,53.0,17.0,20ft,average,ccs_mid,40m,7050000,160.89,187.93,7.790499486557197,2.570620474992926,True,0.8458
53r-17c,53.0,17.0,20ft,average,ccs_mid,30m,10120000,276.21,-1077.1,89.69859226479721,9.408970136278423,False,0.8506999999999999
53r-17c,53.0,17.0,20ft,average,ccs_mid,20m,14050000,105.16,81.439,3.5590687675463992,1.537717524342809,True,0.867
